MMSI,timestamp,latitude,longitude,speed,heading
123456789,2026-09-10 10:00:00,18.5204,72.85,12.5,85
123456789,2026-09-10 10:10:00,18.525,72.86,13.2,87
123456789,2026-09-10 10:20:00,18.53,72.87,13.0,88
123456789,2026-09-10 10:30:00,18.535,72.88,12.8,89
123456789,2026-09-10 10:40:00,18.54,72.89,12.6,90
987654321,2026-09-10 09:40:00,18.57,72.88,8.8,118
987654321,2026-09-10 10:00:00,18.6,72.9,8.4,120
987654321,2026-09-10 10:10:00,18.605,72.91,8.1,122
987654321,2026-09-10 10:20:00,18.61,72.92,8.3,123
987654321,2026-09-10 10:30:00,18.615,72.93,8.0,125
456789123,2026-09-10 09:50:00,18.45,72.78,15.0,250
456789123,2026-09-10 10:00:00,18.445,72.77,14.8,252
456789123,2026-09-10 10:10:00,18.44,72.76,15.2,254
456789123,2026-09-10 10:20:00,18.435,72.75,15.1,255
741852963,2026-09-10 10:00:00,18.8,73.1,10.2,45
741852963,2026-09-10 10:15:00,18.81,73.11,10.5,46
741852963,2026-09-10 10:30:00,18.82,73.12,10.1,47
369258147,2026-09-10 11:00:00,17.9,72.3,11.5,180
369258147,2026-09-10 11:15:00,17.89,72.3,11.7,181
369258147,2026-09-10 11:30:00,17.88,72.3,11.4,182
